x,y,STATION_NAME,CLIMATE_IDENTIFIER,ID,LOCAL_DATE,PROVINCE_CODE,LOCAL_YEAR,LOCAL_MONTH,LOCAL_DAY,MEAN_TEMPERATURE,MEAN_TEMPERATURE_FLAG,MIN_TEMPERATURE,MIN_TEMPERATURE_FLAG,MAX_TEMPERATURE,MAX_TEMPERATURE_FLAG,TOTAL_PRECIPITATION,TOTAL_PRECIPITATION_FLAG,TOTAL_RAIN,TOTAL_RAIN_FLAG,TOTAL_SNOW,TOTAL_SNOW_FLAG,SNOW_ON_GROUND,SNOW_ON_GROUND_FLAG,DIRECTION_MAX_GUST,DIRECTION_MAX_GUST_FLAG,SPEED_MAX_GUST,SPEED_MAX_GUST_FLAG,COOLING_DEGREE_DAYS,COOLING_DEGREE_DAYS_FLAG,HEATING_DEGREE_DAYS,HEATING_DEGREE_DAYS_FLAG,MIN_REL_HUMIDITY,MIN_REL_HUMIDITY_FLAG,MAX_REL_HUMIDITY,MAX_REL_HUMIDITY_FLAG,STN_ID
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.23,2015-01-23 00:00:00,NB,2015,1,23,-8.8,,-14.8,,-2.7,,0,,,M,,M,,,0,,0,,0,,26.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.24,2015-01-24 00:00:00,NB,2015,1,24,-3.3,,-7.6,,1,,12,,,M,,M,,,33,,41,,0,,21.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.25,2015-01-25 00:00:00,NB,2015,1,25,-6.8,,-13.6,,0,,2,,,M,,M,,,28,,63,,0,,24.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.26,2015-01-26 00:00:00,NB,2015,1,26,-14.6,,-17.9,,-11.3,,0,,,M,,M,,,29,,44,,0,,32.6,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.27,2015-01-27 00:00:00,NB,2015,1,27,-12.7,,-15.3,,-10.1,,11.9,,,M,,M,,,4,,65,,0,,30.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.28,2015-01-28 00:00:00,NB,2015,1,28,-10.1,,-13.3,,-6.9,,0.7,,,M,,M,,,35,,43,,0,,28.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.29,2015-01-29 00:00:00,NB,2015,1,29,-12.3,,-21,,-3.5,,0.2,,,M,,M,,,0,,0,,0,,30.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.30,2015-01-30 00:00:00,NB,2015,1,30,-11.4,,-18,,-4.7,,2.1,,,M,,M,,,0,,0,,0,,29.4,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.1.31,2015-01-31 00:00:00,NB,2015,1,31,-8.6,,-12.9,,-4.2,,9.6,,,M,,M,,,29,,57,,0,,26.6,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.1,2015-02-01 00:00:00,NB,2015,2,1,-16.8,,-21.1,,-12.4,,0,,,M,,M,,,31,,59,,0,,34.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.2,2015-02-02 00:00:00,NB,2015,2,2,-19.9,,-23.4,,-16.3,,9,,,M,,M,,,3,,43,,0,,37.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.3,2015-02-03 00:00:00,NB,2015,2,3,-19.4,,-25.3,,-13.4,,0.2,,,M,,M,,,31,,44,,0,,37.4,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.4,2015-02-04 00:00:00,NB,2015,2,4,-15.2,,-25.5,,-4.8,,5.3,,,M,,M,32,,0,,0,,0,,33.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.5,2015-02-05 00:00:00,NB,2015,2,5,-10.7,,-18.5,,-2.8,,5.9,,,M,,M,44,,33,,48,,0,,28.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.6,2015-02-06 00:00:00,NB,2015,2,6,-18.9,,-24.6,,-13.1,,0.2,,,M,,M,36,,30,,37,,0,,36.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.7,2015-02-07 00:00:00,NB,2015,2,7,-19.1,,-27.2,,-11,,0,,,M,,M,35,,0,,0,,0,,37.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.8,2015-02-08 00:00:00,NB,2015,2,8,-18.2,,-25,,-11.4,,0,,,M,,M,34,,0,,0,,0,,36.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.9,2015-02-09 00:00:00,NB,2015,2,9,-16.7,,-21,,-12.4,,0,,,M,,M,33,,0,,0,,0,,34.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.10,2015-02-10 00:00:00,NB,2015,2,10,-15.4,,-20.9,,-9.9,,0,,,M,,M,33,,0,,0,,0,,33.4,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.11,2015-02-11 00:00:00,NB,2015,2,11,-17.9,,-25.3,,-10.4,,0,,,M,,M,33,,5,,35,,0,,35.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.12,2015-02-12 00:00:00,NB,2015,2,12,-14.2,,-18.3,,-10,,0,,,M,,M,33,,0,,0,,0,,32.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.13,2015-02-13 00:00:00,NB,2015,2,13,-16.9,,-21.2,,-12.5,,0,,,M,,M,32,,30,,48,,0,,34.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.14,2015-02-14 00:00:00,NB,2015,2,14,-20,,-26.3,,-13.6,,0.8,,,M,,M,31,,0,,0,,0,,38,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.15,2015-02-15 00:00:00,NB,2015,2,15,-14.3,,-15.2,,-13.3,,10,,,M,,M,34,,31,,63,,0,,32.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.16,2015-02-16 00:00:00,NB,2015,2,16,-14.1,,-16.6,,-11.5,,0.2,,,M,,M,33,,33,,72,,0,,32.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.17,2015-02-17 00:00:00,NB,2015,2,17,-12.1,,-17.5,,-6.6,,0,,,M,,M,27,,31,,52,,0,,30.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.18,2015-02-18 00:00:00,NB,2015,2,18,-11.6,,-18.8,,-4.3,,0,,,M,,M,27,,0,,0,,0,,29.6,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.19,2015-02-19 00:00:00,NB,2015,2,19,-9.7,,-15.4,,-3.9,,6.5,,,M,,M,27,,9,,32,,0,,27.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.20,2015-02-20 00:00:00,NB,2015,2,20,-10,,-14.2,,-5.7,,1.1,,,M,,M,25,,24,,46,,0,,28,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.21,2015-02-21 00:00:00,NB,2015,2,21,-9.9,,-19.1,,-0.7,,3.1,,,M,,M,27,,28,,44,,0,,27.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.22,2015-02-22 00:00:00,NB,2015,2,22,-6.6,,-13.6,,0.4,,3.6,,,M,,M,35,,0,,0,,0,,24.6,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.23,2015-02-23 00:00:00,NB,2015,2,23,-14.5,,-23.1,,-5.9,,1.1,,,M,,M,35,,30,,59,,0,,32.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.24,2015-02-24 00:00:00,NB,2015,2,24,-18.9,,-24.7,,-13,,0.2,,,M,,M,32,,29,,54,,0,,36.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.25,2015-02-25 00:00:00,NB,2015,2,25,-10.1,,-16,,-4.2,,11.4,,,M,,M,33,,29,,48,,0,,28.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.26,2015-02-26 00:00:00,NB,2015,2,26,-13.3,,-15.9,,-10.7,,0,,,M,,M,35,,28,,50,,0,,31.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.27,2015-02-27 00:00:00,NB,2015,2,27,-14.5,,-21.7,,-7.2,,0,,,M,,M,30,,28,,33,,0,,32.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.2.28,2015-02-28 00:00:00,NB,2015,2,28,-15,,-26.6,,-3.3,,0.2,,,M,,M,29,,25,,35,,0,,33,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.1,2015-03-01 00:00:00,NB,2015,3,1,-12.5,,-22.5,,-2.4,,0.5,,,M,,M,30,,0,,0,,0,,30.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.2,2015-03-02 00:00:00,NB,2015,3,2,-7.4,,-12,,-2.7,,1.5,,,M,,M,32,,30,,72,,0,,25.4,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.3,2015-03-03 00:00:00,NB,2015,3,3,-10.8,,-16.2,,-5.4,,2.3,,,M,,M,31,,31,,59,,0,,28.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.4,2015-03-04 00:00:00,NB,2015,3,4,-3.7,,-11.4,,4,,3.8,,,M,,M,38,,27,,43,,0,,21.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.5,2015-03-05 00:00:00,NB,2015,3,5,-8.9,,-18.2,,0.4,,0,,,M,,M,32,,31,,46,,0,,26.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.6,2015-03-06 00:00:00,NB,2015,3,6,-15.8,,-25.5,,-6.1,,0.2,,,M,,M,31,,21,,33,,0,,33.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.7,2015-03-07 00:00:00,NB,2015,3,7,-11.2,,-21.5,,-0.9,,0,,,M,,M,31,,25,,33,,0,,29.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.8,2015-03-08 00:00:00,NB,2015,3,8,-8.6,,-17,,-0.2,,0,,,M,,M,31,,28,,32,,0,,26.6,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.9,2015-03-09 00:00:00,NB,2015,3,9,-6.1,,-14.1,,1.9,,0.8,,,M,,M,31,,30,,54,,0,,24.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.10,2015-03-10 00:00:00,NB,2015,3,10,-4.7,,-14.7,,5.4,,0.2,,,M,,M,31,,22,,39,,0,,22.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.11,2015-03-11 00:00:00,NB,2015,3,11,2.2,,-4.8,,9.1,,0,,,M,,M,26,,30,,72,,0,,15.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.12,2015-03-12 00:00:00,NB,2015,3,12,-6.8,,-12.2,,-1.3,,0,,,M,,M,,,32,,63,,0,,24.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.13,2015-03-13 00:00:00,NB,2015,3,13,-10.5,,-16.7,,-4.3,,0,,,M,,M,,,29,,43,,0,,28.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.14,2015-03-14 00:00:00,NB,2015,3,14,-9.8,,-20,,0.4,,0,,,M,,M,,,10,,32,,0,,27.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.15,2015-03-15 00:00:00,NB,2015,3,15,-5.3,,-7.1,,-3.5,,14.9,,,M,,M,19,,3,,72,,0,,23.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.16,2015-03-16 00:00:00,NB,2015,3,16,-3.8,,-12.1,,4.5,,0,,,M,,M,25,,36,,50,,0,,21.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.17,2015-03-17 00:00:00,NB,2015,3,17,-7.4,,-14.2,,-0.5,,8.3,,,M,,M,24,,33,,44,,0,,25.4,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.18,2015-03-18 00:00:00,NB,2015,3,18,-8.3,,-10.9,,-5.7,,0.2,,,M,,M,36,,31,,61,,0,,26.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.19,2015-03-19 00:00:00,NB,2015,3,19,-7.5,,-11.9,,-3,,0,,,M,,M,24,,31,,48,,0,,25.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.20,2015-03-20 00:00:00,NB,2015,3,20,-4.9,,-12.8,,3.1,,0,,,M,,M,26,,30,,35,,0,,22.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.21,2015-03-21 00:00:00,NB,2015,3,21,-3.5,,-9.2,,2.2,,1.3,,,M,,M,26,,0,,0,,0,,21.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.22,2015-03-22 00:00:00,NB,2015,3,22,-7.5,,-13.3,,-1.7,,1.5,,,M,,M,25,,29,,72,,0,,25.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.23,2015-03-23 00:00:00,NB,2015,3,23,-9.4,,-14.6,,-4.1,,0,,,M,,M,25,,27,,56,,0,,27.4,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.24,2015-03-24 00:00:00,NB,2015,3,24,-4.3,,-12.2,,3.7,,0,,,M,,M,24,,0,,0,,0,,22.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.25,2015-03-25 00:00:00,NB,2015,3,25,-2.8,,-12.2,,6.7,,0,,,M,,M,22,,21,,35,,0,,20.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.26,2015-03-26 00:00:00,NB,2015,3,26,5,,0.4,,9.6,,3.1,,,M,,M,,,21,,48,,0,,13,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.27,2015-03-27 00:00:00,NB,2015,3,27,2.8,,-0.7,,6.3,,0,,,M,,M,,,0,,0,,0,,15.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.28,2015-03-28 00:00:00,NB,2015,3,28,-0.2,,-3.2,,2.8,,0,,,M,,M,,,0,,0,,0,,18.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.29,2015-03-29 00:00:00,NB,2015,3,29,-1.8,,-6.8,,3.3,,0,,,M,,M,,,30,,32,,0,,19.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.30,2015-03-30 00:00:00,NB,2015,3,30,-2.3,,-8.4,,3.8,,1.1,,,M,,M,,,20,,54,,0,,20.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.3.31,2015-03-31 00:00:00,NB,2015,3,31,0.9,,-2.7,,4.4,,0,,,M,,M,,,29,,41,,0,,17.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.1,2015-04-01 00:00:00,NB,2015,4,1,-3.9,,-6.5,,-1.2,,0,,,M,,M,,,29,,54,,0,,21.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.2,2015-04-02 00:00:00,NB,2015,4,2,-1.4,,-7.9,,5.1,,0,,,M,,M,,,31,,41,,0,,19.4,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.3,2015-04-03 00:00:00,NB,2015,4,3,6.9,,-0.3,,14.1,,6,,,M,,M,,,30,,37,,0,,11.1,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.4,2015-04-04 00:00:00,NB,2015,4,4,-1.5,,-7.6,,4.7,,7.2,,,M,,M,1,,32,,59,,0,,19.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.5,2015-04-05 00:00:00,NB,2015,4,5,-7.3,,-14.1,,-0.5,,0.2,,,M,,M,4,,31,,59,,0,,25.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.6,2015-04-06 00:00:00,NB,2015,4,6,-7.5,,-17.1,,2.1,,0.2,,,M,,M,3,,22,,35,,0,,25.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.7,2015-04-07 00:00:00,NB,2015,4,7,1.1,,-3.4,,5.5,,0.7,,,M,,M,2,,31,,37,,0,,16.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.8,2015-04-08 00:00:00,NB,2015,4,8,-1.3,,-6.3,,3.8,,0,,,M,,M,0,T,0,,0,,0,,19.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.9,2015-04-09 00:00:00,NB,2015,4,9,1.2,,-3,,5.4,,0,,,M,,M,,,0,,0,,0,,16.8,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.10,2015-04-10 00:00:00,NB,2015,4,10,1.3,,-3.4,,5.9,,10.4,,,M,,M,,,0,,0,,0,,16.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.11,2015-04-11 00:00:00,NB,2015,4,11,5.7,,2.8,,8.5,,0,,,M,,M,,,27,,59,,0,,12.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.12,2015-04-12 00:00:00,NB,2015,4,12,6.1,,-1.5,,13.7,,0,,,M,,M,1,,31,,33,,0,,11.9,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.13,2015-04-13 00:00:00,NB,2015,4,13,8.4,,-2.4,,19.1,,0,,,M,,M,,,19,,37,,0,,9.6,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.14,2015-04-14 00:00:00,NB,2015,4,14,8.8,,2.3,,15.3,,2.1,,,M,,M,,,28,,57,,0,,9.2,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.15,2015-04-15 00:00:00,NB,2015,4,15,4.5,,-1.4,,10.4,,0,,,M,,M,,,33,,32,,0,,13.5,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.16,2015-04-16 00:00:00,NB,2015,4,16,4.7,,-1.5,,10.8,,0,,,M,,M,,,27,,32,,0,,13.3,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.17,2015-04-17 00:00:00,NB,2015,4,17,,M,1.2,E,,M,,M,,M,,M,,,27,,35,,,M,,M,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.18,2015-04-18 00:00:00,NB,2015,4,18,6.3,,1.2,,11.4,,0,,,M,,M,,,0,,0,,0,,11.7,,,,,,30309
-66.60889166666666,45.92027777777778,FREDERICTON CDA CS,8101605,8101605.2015.4.19,2015-04-19 00:00:00,NB,2015,4,19,4.6,,-2.6,,11.8,,0,,,M,,M,,,27,,37,,0,,13.4,,,,,,30309
