"REF_DATE","GEO","DGUID","Area, production and farm value of potatoes","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1909","Canada","2016A000011124","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47173","1.4","0.61","","","t","2"
"1909","Canada","2016A000011124","Total farm value, potatoes","Dollars","81","thousands","3","v47184","1.5","36399","","","t","0"
"1909","Prince Edward Island","2016A000211","Seeded area","Acres","28","units","0","v47141","3.1","34000","","","","0"
"1909","Prince Edward Island","2016A000211","Average yield","Hundredweight per harvested acres","159","units","0","v47152","3.2","119.3","","","","1"
"1909","Prince Edward Island","2016A000211","Production","Hundredweight","156","thousands","3","v47163","3.3","4057","","","","0"
"1909","Prince Edward Island","2016A000211","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47174","3.4","0.33","","","t","2"
"1909","Prince Edward Island","2016A000211","Total farm value, potatoes","Dollars","81","thousands","3","v47185","3.5","1354","","","t","0"
"1909","Nova Scotia","2016A000212","Seeded area","Acres","28","units","0","v47142","4.1","43900","","","","0"
"1909","Nova Scotia","2016A000212","Average yield","Hundredweight per harvested acres","159","units","0","v47153","4.2","124.4","","","","1"
"1909","Nova Scotia","2016A000212","Production","Hundredweight","156","thousands","3","v47164","4.3","5459","","","","0"
"1909","Nova Scotia","2016A000212","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47175","4.4","0.77","","","t","2"
"1909","Nova Scotia","2016A000212","Total farm value, potatoes","Dollars","81","thousands","3","v47186","4.5","4185","","","t","0"
"1909","New Brunswick","2016A000213","Seeded area","Acres","28","units","0","v47143","5.1","58600","","","","0"
"1909","New Brunswick","2016A000213","Average yield","Hundredweight per harvested acres","159","units","0","v47154","5.2","125.4","","","","1"
"1909","New Brunswick","2016A000213","Production","Hundredweight","156","thousands","3","v47165","5.3","7348","","","","0"
"1909","New Brunswick","2016A000213","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47176","5.4","0.57","","","t","2"
"1909","New Brunswick","2016A000213","Total farm value, potatoes","Dollars","81","thousands","3","v47187","5.5","4164","","","t","0"
"1909","Quebec","2016A000224","Seeded area","Acres","28","units","0","v47144","6.1","143500","","","","0"
"1909","Quebec","2016A000224","Average yield","Hundredweight per harvested acres","159","units","0","v47155","6.2","129.0","","","","1"
"1909","Quebec","2016A000224","Production","Hundredweight","156","thousands","3","v47166","6.3","18513","","","","0"
"1909","Quebec","2016A000224","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47177","6.4","0.57","","","t","2"
"1909","Quebec","2016A000224","Total farm value, potatoes","Dollars","81","thousands","3","v47188","6.5","10490","","","t","0"
"1909","Ontario","2016A000235","Seeded area","Acres","28","units","0","v47145","7.1","181000","","","","0"
"1909","Ontario","2016A000235","Average yield","Hundredweight per harvested acres","159","units","0","v47156","7.2","97.7","","","","1"
"1909","Ontario","2016A000235","Production","Hundredweight","156","thousands","3","v47167","7.3","17679","","","","0"
"1909","Ontario","2016A000235","Average farm price, potatoes","Dollars per hundredweight","110","units","0","v47178","7.4","0.70","","","t","2"
"1909","Ontario","2016A000235","Total farm value, potatoes","Dollars","81","thousands","3","v47189","7.5","12375","","","t","0"
"1909","Manitoba","2016A000246","Seeded area","Acres","28","units","0","v47146","8.1","20700","","","","0"
